tconst,primaryTitle,titleType,genres,averageRating,numVotes,country,rt_rating,mc_rating
tt0460780,In the Name of the King: A Dungeon Siege Tale,movie,"Action,Adventure,Fantasy",3.8,48370.0,"Germany, Canada, USA",4,15
tt0811138,The Love Guru,movie,"Comedy,Romance,Sport",3.8,51908.0,"UK, Germany, USA",13,24
tt0118688,Batman & Robin,movie,"Action,Sci-Fi",3.8,242260.0,"USA, UK",12,28
tt0160236,Dudley Do-Right,movie,"Comedy,Family,Romance",3.9,10493.0,USA,16,44
tt1712159,11-11-11,movie,"Adventure,Horror,Mystery",3.9,12274.0,"USA, Spain",7,26
tt1139592,Jeepers Creepers III,movie,Horror,3.9,21238.0,USA,17,
tt0365957,You Got Served,movie,"Drama,Music",3.9,27644.0,USA,,37
tt6513656,Escape Plan 2: Hades,movie,"Action,Crime,Mystery",3.9,30444.0,"China, USA",8,
tt1255919,Holmes & Watson,movie,"Comedy,Crime,Mystery",3.9,34489.0,"USA, Canada",10,24
tt0926129,Prom Night,movie,"Horror,Mystery",3.9,35341.0,"USA, Canada",9,17
tt7668842,Enes Batur,movie,Comedy,3.9,54907.0,Turkey,,
tt0120179,Speed 2: Cruise Control,movie,"Action,Adventure,Crime",3.9,78833.0,USA,4,23
tt0200469,Bats,movie,"Horror,Sci-Fi,Thriller",4.0,10331.0,USA,17,23
tt4600952,The Guardians,movie,"Action,Adventure,Comedy",4.0,13186.0,Russia,33,
tt0119718,Mr. Magoo,movie,"Adventure,Comedy,Family",4.0,15036.0,USA,7,18
tt2034139,The Last Exorcism Part II,movie,"Horror,Thriller",4.0,16158.0,"France, USA",15,35
tt5913798,Wounds,movie,"Drama,Horror,Mystery",4.0,17880.0,"USA, UK",47,51
tt1577061,Recep Ivedik 3,movie,Comedy,4.0,18609.0,Turkey,,
tt0433412,Material Girls,movie,"Comedy,Family,Romance",4.0,22051.0,USA,4,17
tt1633356,Shark Night,movie,"Horror,Thriller",4.0,25612.0,USA,18,22
tt0479968,One Missed Call,movie,"Horror,Mystery",4.0,31836.0,"USA, Japan, Germany, UK",0,24
tt0229260,Book of Shadows: Blair Witch 2,movie,"Adventure,Fantasy,Horror",4.0,37258.0,USA,14,15
tt0052077,Plan 9 from Outer Space,movie,"Horror,Sci-Fi",4.0,37720.0,USA,66,56
tt0220506,Halloween: Resurrection,movie,"Horror,Thriller",4.0,41593.0,USA,12,19
tt0111301,Street Fighter,movie,"Action,Adventure,Comedy",4.0,69713.0,"Japan, USA",11,34
tt0312528,The Cat in the Hat,movie,"Adventure,Comedy,Family",4.0,80165.0,USA,10,19
tt0938283,The Last Airbender,movie,"Action,Adventure,Family",4.0,159027.0,USA,5,20
tt4382872,Extraction,movie,"Action,Thriller",4.1,10956.0,"USA, UK, Canada",6,25
tt10303324,Survive the Night,movie,"Action,Drama,Thriller",4.1,11347.0,USA,14,26
tt7869070,The Fanatic,movie,"Crime,Thriller",4.1,11436.0,USA,16,18
tt0120604,Beowulf,movie,"Action,Adventure,Fantasy",4.1,11687.0,"UK, USA, Romania",0,
tt2752758,Devil's Due,movie,"Horror,Mystery",4.1,16478.0,USA,18,34
tt0960890,Zombie Strippers!,movie,"Comedy,Horror,Sci-Fi",4.1,18149.0,USA,38,45
tt1433822,The Apparition,movie,"Horror,Thriller",4.1,19687.0,"USA, Germany",3,18
tt0329691,Torque,movie,"Action,Comedy,Crime",4.1,27871.0,USA,22,41
tt0107978,RoboCop 3,movie,"Action,Crime,Sci-Fi",4.1,49042.0,USA,6,40
tt0108255,Super Mario Bros.,movie,"Adventure,Comedy,Family",4.1,52411.0,"UK, USA, Japan, France",28,35
tt0477051,Norbit,movie,"Comedy,Romance",4.1,72137.0,USA,9,27
tt2322441,Fifty Shades of Grey,movie,"Drama,Romance,Thriller",4.1,308010.0,USA,24,46
tt5669936,The Recall,movie,"Action,Horror,Mystery",4.2,10381.0,Canada,0,
tt6609088,Pappa pia,movie,"Comedy,Music,Romance",4.2,10551.0,Hungary,,
tt5159414,Escape Room,movie,"Horror,Thriller",4.2,11618.0,USA,,
tt0120786,The Patriot,movie,"Action,Thriller",4.2,12382.0,USA,20,
tt9625664,Trauma Center,movie,"Action,Thriller",4.2,12812.0,USA,,
tt1519461,Area 51,movie,"Horror,Mystery,Sci-Fi",4.2,13923.0,USA,13,30
tt3704538,V/H/S Viral,movie,"Horror,Thriller",4.2,16116.0,"USA, Spain",33,38
tt3480796,Vice,movie,"Action,Sci-Fi,Thriller",4.2,16131.0,USA,4,17
tt0318081,A Sound of Thunder,movie,"Action,Adventure,Horror",4.2,19426.0,"Czech Republic, UK, Germany, USA",6,24
tt4030600,The Bye Bye Man,movie,"Drama,Fantasy,Horror",4.2,23189.0,"USA, China",18,37
tt3089630,Artemis Fowl,movie,"Adventure,Family,Fantasy",4.2,26208.0,USA,8,31
tt0176269,Universal Soldier: The Return,movie,"Action,Sci-Fi",4.2,28884.0,USA,5,24
tt0357507,Boogeyman,movie,"Drama,Horror,Mystery",4.2,30761.0,"USA, New Zealand, Germany",14,32
tt0107254,Jason Goes to Hell: The Final Friday,movie,"Fantasy,Horror,Thriller",4.2,31038.0,USA,16,17
tt1560985,The Devil Inside,movie,Horror,4.2,35627.0,USA,5,18
tt1620680,A Wrinkle in Time,movie,"Adventure,Family,Fantasy",4.2,43400.0,USA,42,53
tt0102034,Highlander II: The Quickening,movie,"Action,Adventure,Fantasy",4.2,45108.0,"UK, France, Argentina",0,31
tt0141369,Inspector Gadget,movie,"Action,Adventure,Comedy",4.2,47175.0,USA,20,36
tt1043726,The Legend of Hercules,movie,"Action,Adventure,Fantasy",4.2,53805.0,"USA, Bulgaria, Germany",5,22
tt1502712,Fantastic Four,movie,"Action,Adventure,Sci-Fi",4.2,159412.0,"USA, Germany, UK",9,27
tt1935302,Monsters: Dark Continent,movie,"Action,Drama,Horror",4.3,10534.0,UK,17,42
tt0790804,The Comebacks,movie,"Comedy,Sport",4.3,11514.0,USA,9,25
tt0396592,Fat Albert,movie,"Comedy,Family,Fantasy",4.3,11887.0,USA,23,39
tt0113010,Fair Game,movie,"Action,Romance,Thriller",4.3,12710.0,USA,12,13
tt3838992,Yoga Hosers,movie,"Action,Comedy,Fantasy",4.3,13343.0,USA,24,23
tt0961722,Cabin Fever 2: Spring Fever,movie,Horror,4.3,13521.0,USA,,
tt0167456,Thunderbirds,movie,"Action,Adventure,Comedy",4.3,13664.0,"UK, France, USA",19,36
tt7456312,The Last Thing He Wanted,movie,"Crime,Drama,Thriller",4.3,14155.0,USA,5,35
tt6494418,Siberia,movie,"Crime,Romance,Thriller",4.3,14358.0,"Canada, USA",12,34
tt4019560,Exposed,movie,"Crime,Drama,Mystery",4.3,14869.0,USA,8,23
tt1392197,Marmaduke,movie,"Comedy,Family",4.3,15125.0,USA,9,30
tt0997047,College Road Trip,movie,"Adventure,Comedy,Drama",4.3,15880.0,USA,12,36
