tconst,rt_rating,mc_rating
tt1578882,,
tt0979434,34,50
tt6495770,16,36
tt1427298,42,32
tt0988849,52,43
tt4419364,50,50
tt1646926,,
tt2885364,80,62
tt1757742,17,
tt0086129,11,38
tt2091478,17,33
tt1403988,14,43
tt0184907,29,34
tt0365125,,56
tt9898858,21,35
tt0265808,9,25
tt2948790,14,23
tt9134216,24,24
tt0455362,27,
tt5598292,0,
tt3836512,60,
tt0120764,12,33
tt3622110,23,45
tt2372251,48,56
tt0093857,7,28
tt0163983,3,17
tt1013860,7,31
tt3462710,28,45
tt0099994,19,30
tt0087032,13,13
tt0234829,8,21
tt0411475,10,25
tt0349467,23,43
tt1016075,24,39
tt0107478,31,49
tt1535612,15,36
tt1391034,14,
tt0119123,14,40
tt0113114,50,
tt1945084,29,35
tt0120596,8,31
tt0283026,15,29
tt3835080,47,35
tt1020885,28,
tt2235779,37,41
tt5360952,47,35
tt0116514,25,21
tt0361620,8,31
tt0097368,29,36
tt0102558,13,13
tt2231554,20,
tt0457495,35,42
tt0118604,7,31
tt0429573,14,38
tt0437179,9,17
tt0061452,27,48
tt0108162,11,38
tt0097138,22,24
tt0383010,51,56
tt0105629,29,40
tt0441796,10,24
tt0313911,38,41
tt0419984,14,41
tt0204313,10,30
tt0402901,12,30
tt2637294,14,29
tt0103956,23,27
tt0097474,12,28
tt0089893,22,35
tt0097981,29,54
tt0436339,22,41
tt0455857,9,27
tt1480656,66,58
tt0338094,13,34
tt0433386,12,33
tt0382992,12,35
tt0331632,22,34
tt0239395,53,47
tt1758810,6,23
tt0800069,12,32
tt0465624,40,50
tt0377818,14,33
tt1600195,5,25
tt1418377,5,30
tt1956620,16,36
tt0362120,35,40
tt0449010,,38
tt0443649,9,34
tt1545106,56,57
tt0337917,13,33
tt0393635,54,
tt8743064,93,74
tt0116168,17,
tt7256866,0,32
tt1762399,23,37
tt1544608,38,42
tt4720702,48,44
tt0449086,30,55
tt1879032,24,44
tt1235448,,
tt0276830,22,
tt0109198,13,
tt0361925,13,33
tt1756799,31,41
tt0376108,14,36
tt4530884,,
tt0213790,11,22
tt0175526,61,
tt0089421,8,29
tt0157472,29,40
tt2409818,43,47
tt0110907,24,48
tt5893332,27,40
tt3685236,67,56
tt0376105,35,43
tt2212008,11,28
tt3733778,10,23
tt1438173,46,
tt0304711,8,21
tt0470055,45,
tt0167427,32,42
tt0328099,31,43
tt0102782,0,28
tt5607028,28,48
tt1699231,75,
tt9252508,38,
tt6821012,26,41
tt2171867,,
tt5734576,18,37
tt3280262,77,69
tt8179388,27,
tt0109456,22,36
tt0119432,19,42
tt0785007,14,30
tt0405469,44,47
tt1288403,,70
tt0100240,14,30
tt0490181,18,
tt0281373,25,29
tt0113820,34,40
tt0463872,,
tt1731697,48,57
tt1285009,40,48
tt1232783,27,24
tt1712170,11,30
tt0482599,9,37
tt0208988,11,24
tt7985648,,
tt2938956,15,32
tt2918436,16,31
tt0112715,22,22
tt2039338,4,27
tt4799050,45,51
tt2967224,8,31
tt6772950,15,35
tt1772240,23,24
tt0253867,26,32
tt1222817,14,30
tt6133466,56,54
tt0287717,75,66
tt0120177,17,34
tt0120738,28,42
tt0385307,16,34
tt0952640,28,39
tt0208003,30,33
tt2274648,18,31
tt1293847,45,42
tt1179056,15,35
tt1144884,28,30
tt2304933,17,33
tt0267913,32,35
tt1114740,34,39
tt0419706,18,34
tt3371366,16,27
tt0859163,13,31
tt1628841,29,32
tt1099212,49,56
tt0206420,35,41
tt0194314,50,49
tt8160864,,
tt0116311,20,48
tt0116322,30,43
tt0784972,16,32
tt0488658,29,43
tt0455612,26,45
tt2180994,32,43
tt5709188,64,29
tt0780534,,
tt0110093,22,
tt6684714,0,28
tt0450336,43,
tt1810697,22,
tt0264323,,
tt0113451,13,33
tt2032572,17,30
tt0112625,22,41
tt3216348,,30
tt0081777,29,31
tt8707922,30,35
tt5075662,67,
tt0145893,16,27
tt6905696,38,39
tt1142433,8,35
tt0258038,27,31
tt1597522,,
tt1841642,,
tt0806027,25,28
tt2281159,53,48
tt0951335,33,
tt0418832,38,
tt0114345,13,
tt0389957,13,
tt0119109,25,43
tt0367631,42,42
tt0081529,14,41
tt1545754,8,37
tt0102216,25,
tt3658772,7,24
tt10183816,25,51
tt1316622,48,61
tt8195518,44,40
tt3011960,4,31
tt1457765,19,26
tt0261289,4,18
tt0118570,45,
tt1649443,68,53
tt0361841,22,36
tt4694544,21,28
tt0110613,27,
tt0308506,57,47
tt3707106,34,44
tt0109287,9,42
tt0133046,19,35
tt0156934,15,38
tt1724970,67,46
tt0103596,32,36
tt0315297,1,26
tt0489282,2,12
tt0105428,33,38
tt4383594,14,11
tt0271263,12,23
tt1767382,43,49
tt1829012,33,53
tt1468846,,31
tt6910020,,
tt0199626,34,46
tt3352390,17,31
tt0160184,18,
tt0264150,14,27
tt0204626,11,22
tt7634968,42,49
tt1334102,34,
tt0217630,24,35
tt4334266,46,62
tt0081353,57,64
tt6802308,23,45
tt1588398,48,57
tt1032815,13,32
tt0080491,23,
tt0095179,35,13
tt1823664,28,33
tt0329717,30,47
tt0976238,5,19
tt0762114,7,25
tt2017020,14,34
tt0288045,17,38
tt1598828,2,22
tt0424823,21,38
tt2403021,38,38
tt7315484,29,25
tt1674784,11,37
tt1160996,20,28
tt4913966,28,41
tt1920849,57,53
tt4126476,18,30
tt0475944,4,19
tt3099498,46,55
tt2752772,15,32
tt1578275,24,46
tt0238546,17,30
tt0814022,9,24
tt0097647,15,36
tt2058673,11,34
tt0327162,26,42
tt4682266,35,43
tt0457400,26,32
tt4532826,15,32
tt0209475,,33
tt0252076,38,45
tt0119137,24,37
tt2193215,34,48
tt1981128,17,21
tt0185431,21,38
tt1038686,18,32
tt3829266,33,48
tt0467197,15,31
tt1131734,45,47
tt5814060,24,46
tt0100507,29,55
tt2101441,67,63
tt0257106,14,29
tt1617661,28,40
tt1606378,15,28
tt0287978,43,42
tt0259324,26,35
tt0118541,10,15
tt2954474,19,
tt3339674,30,37
tt0906734,50,
tt0411267,40,
tt0093220,7,31
tt1390535,13,
tt0116289,14,30
tt2234429,83,
tt0045758,71,
tt0110538,13,14
tt0098097,24,47
tt0097179,9,34
tt4486986,29,43
tt1575694,,
tt0974613,15,34
tt2112096,58,59
tt2064968,10,34
tt0116151,16,54
tt2393827,63,
tt0119086,32,34
tt3014666,20,25
tt0084745,62,50
tt4503598,89,62
tt1935194,29,
tt0217756,23,23
tt0339840,32,34
tt0091799,61,58
tt1564777,7,47
tt1663143,25,37
tt0240900,10,12
tt3327624,31,
tt3212232,11,
tt0238552,27,
tt0117826,15,36
tt0280720,57,47
tt1604171,35,50
tt0104299,22,34
tt0283426,18,38
tt0094890,31,45
tt7134096,29,45
tt0368975,15,33
tt0204175,11,29
tt3976144,80,69
tt0081383,48,45
tt5143226,,
tt0397044,11,33
tt0105156,41,51
tt0246989,14,15
tt1440732,27,42
tt6048930,0,36
tt3733774,63,58
tt8201852,40,46
tt0273517,4,15
tt0116421,11,33
tt0119891,13,26
tt1634121,32,45
tt1731701,26,44
tt4463816,21,27
tt6127004,67,49
tt0775552,34,42
tt1305591,37,49
tt0299172,53,50
tt0097257,68,66
tt0785006,46,51
tt0331933,9,35
tt2300975,28,37
tt0252028,8,19
tt0465142,38,45
tt0095687,20,47
tt1308728,23,27
tt1247690,16,36
tt9086228,62,64
tt3317234,18,32
tt0100419,0,27
tt0114614,40,46
tt10039344,26,31
tt2088003,78,53
tt1411704,24,41
tt2358925,10,32
tt0141109,19,40
tt0462396,15,37
tt0104692,35,42
tt1480295,10,25
tt0117723,7,25
tt0454970,19,36
tt0405336,41,44
tt6476140,21,37
tt0425430,12,34
tt0093507,22,35
tt0429591,51,51
tt1423995,50,58
tt0780622,80,57
tt0446013,9,29
tt0091777,40,33
tt2702724,22,40
tt0322589,21,37
tt0430308,17,45
tt0388419,5,22
tt1341188,31,46
tt1212436,17,34
tt8784956,16,39
tt0297181,57,35
tt4687108,36,46
tt0406759,22,36
tt0106598,35,49
tt1298644,13,35
tt0138304,15,37
tt0397078,14,29
tt1179891,61,51
tt0271367,47,53
tt2717822,33,51
tt1258972,51,51
tt1243974,20,40
tt0110989,26,49
tt1234719,15,31
tt0290095,22,30
tt0472181,21,30
tt0464154,74,53
tt4287320,16,43
tt0479997,11,28
tt0377109,20,44
tt0118998,42,46
tt1502404,48,44
tt2404233,15,25
tt0397065,27,41
tt0417148,69,58
tt1855325,28,39
tt0413099,23,37
tt2191701,8,19
tt3322940,29,37
tt2345759,16,34
tt0120685,16,32
tt0112462,39,51
tt0116448,42,
tt3282858,,
tt0279889,40,42
tt0112302,25,
tt0202402,16,20
tt0105616,14,
tt2049543,47,39
tt0094612,13,36
tt0110612,20,42
tt3289712,25,33
tt0083550,16,34
tt0274711,44,53
tt0092974,62,24
tt7923220,24,31
tt5073620,21,42
tt0118744,12,18
tt3164256,7,29
tt0196857,11,32
tt0280969,67,
tt0899128,,
tt4157728,,
tt4163020,77,64
tt0475937,38,42
tt8085790,47,49
tt0120710,25,
tt1182921,,
tt5789976,33,48
tt0116707,19,
tt0116531,19,33
tt0959329,,
tt1270835,42,49
tt0111400,19,
tt8134742,58,50
tt5085924,71,58
tt1341710,67,
tt0129280,27,33
tt1486193,34,31
tt0116095,23,
tt0091278,20,41
tt0089730,10,64
tt0494652,23,46
tt0192111,10,27
tt0088708,0,20
tt0087727,20,43
tt0078504,41,53
tt0893412,20,39
tt0094919,31,48
tt2802136,5,22
tt0349047,,
tt7137846,27,42
tt3181776,26,18
tt0279781,12,25
tt2679552,9,27
tt0161083,10,37
tt0098320,26,51
tt7525778,42,
tt1999890,40,26
tt1361318,12,42
tt1103982,67,66
tt0458364,19,32
tt0250468,0,
tt2338454,,44
tt1928330,20,
tt0285175,45,
tt5822564,23,35
tt1966359,17,22
tt1234541,,
tt5096470,35,41
tt1758595,7,35
tt0119896,47,44
tt0325537,30,44
tt5884784,40,47
tt8169446,66,56
tt1702425,42,52
tt6511932,57,55
tt0117011,32,
tt3963816,24,42
tt0361089,32,45
tt5462326,75,59
tt0236348,53,47
tt0231775,20,32
tt0126388,29,
tt0098966,35,51
tt0775539,25,44
tt0116000,20,
tt0119664,17,41
tt0443295,6,38
tt8850222,55,51
tt0104409,42,50
tt0380623,6,27
tt0069768,36,40
tt0091499,15,24
tt0490076,46,44
tt1072748,13,28
tt1464763,21,35
tt0141098,45,46
tt1594562,,64
tt4154916,11,19
tt0113986,25,47
tt1709143,18,46
tt0265298,45,36
tt0365929,7,
tt1273678,12,27
tt1656186,20,43
tt0114781,34,52
tt0424993,20,36
tt0375210,7,30
tt0245803,24,40
tt0437863,13,25
tt0243585,81,66
tt1686821,16,31
tt0327247,4,24
tt0144120,49,48
tt0398375,21,35
tt0452598,6,34
tt0466909,26,43
tt0098382,22,43
tt0449089,24,33
tt0284490,25,32
tt0089686,41,43
tt0305711,,28
tt3045616,12,27
tt8695030,54,53
tt3713166,61,59
tt0233469,19,33
tt0120461,49,55
tt1121096,12,30
tt0119190,56,53
tt0852713,43,55
tt0498353,44,46
tt2592614,37,49
tt1103153,10,21
tt0285531,28,35
tt0302640,21,29
tt1232200,,31
tt0298814,40,48
tt0452637,25,36
tt0288477,16,28
tt1240982,27,31
tt2548396,21,37
tt0758746,26,34
tt0901476,11,24
tt1078940,10,23
tt1921064,27,39
tt0970866,9,27
tt1486185,10,29
tt0227538,93,71
tt0402022,9,36
